00-database-info	This is the Vietnamese-English dictionary database of the Free Vietnamese Dictionary Project, and the Open Vietnamese Dictionary Project.; C
nhui	Rake net; Fish with a rake-net; Grout; remove with its snout (of a pig); Creep
noi khoa	Internal medicine
noi khoa	Internal medicine
noi khoa	(noun) curriculum
nội bộ	internal
nội bộ	internal
phien toai	Troublesome
phien toai	Troublesome
phấn nộ	(verb) to lose one's temper
phấn nộ	Be indignant
phấn nộ	(verb) to lose one's temper
quýnh	Be beside oneself, be out of one's wits
quýnh	(noun) ruby phyllocactus
quýnh	(thông tục) Bumpkin, simpleton
quýnh	Be beside oneself, be out of one's wits
rú rí	(ít dùng) Coo
rú rí	Murmur softly, coo; Rủ rỉ rù rì (láy)
rú rí	Be taciturn
rú rí	Be taciturn
sư sãi	Bonzes
sư sãi	Bonzes
thang du	(noun) surplus
thang du	(noun) surplus
thông cảm	(verb) to sympathize, to pay compassion to
thông cảm	(verb) to sympathize, to pay compassion to
tranh cãi	(verb) to argue, to dispute
tranh cãi	(verb) to argue, to dispute
tê	(adj) numbed, insensible, stiff
tê	(noun) (gạo tẻ) ordinary rice, plain rice
tê	(adj) uninteresting, dull uncronded
tê	(verb) to shell
tê	(verb) to run (ride at full gallop) to sacrifice, to worship
tê	(noun) (thuốc tể) pills
tê	(noun) evil, social evil
tê	(adj) bad, poor heartless mighty
tê	(adv) (te te) swiftly, fast
tê	(verb) to wee, to wee-wee, to do a wee-wee
tê	(verb) to fall, to fell over
vòng kiềng	(adj) bandy
vòng kiềng	(adj) bandy
đút túi	Appropriate, pocket dishonestly (public money); Dense, dull; (địa phương) Take shelter, shelter (from rain...)
đút túi	Appropriate, pocket dishonestly (public money); Dense, dull; (địa phương) Take shelter, shelter (from rain...)
đức hạnh	Righteousness and good charater00-database-url	http://www.informatik.uni-leipzig.de/~duc/Dict/; http://www.tudientiengviet.net/
đức hạnh	Righteousness and good charater
bao quan	(từ cũ, nghĩa cũ) Newspaper office
bao quan	(ít dùng) Tyrant
bao quan	(verb) To maintain, to keep in good repair, to preserve, to keep in good; condition
bao quan	(từ cũ, nghĩa cũ) Newspaper office
bo triet am	(kỹ) Silencer
bo triet am	(kỹ) Silencer
bóc vảy	(verb) to des+uamate
bóc vảy	(verb) to des+uamate
bộ cánh	(thông tục) Sunday clothes, Sunday best
bộ cánh	(thông tục) Sunday clothes, Sunday best
cau duyen	(đùa vui) Sray for good chances in love
cau duyen	(đùa vui) Sray for good chances in love
chu ho	(noun) Head of a household
chu ho	(noun) Head of a household
chết mệt	To be over head and ears in love, to be captivated
chết mệt	To be over head and ears in love, to be captivated
còn xơi	There will be a long time
còn xơi	There will be a long time
dai y	(noun) gist; general idea
dai y	(noun) gist; general idea
dich am	(cũ) Transcribe phonetically
dich am	(cũ) Transcribe phonetically
duong nhiem	In power
duong nhiem	In power
gan hoi	(verb) to press with questions
gan hoi	(verb) to press with questions
giá	(noun) bean sprouts
giá	(noun) price; cost
giá	(verb) to grind; to bray; to crush
giá	(verb) to neutralize
giá	(noun) measure weighing about thirty kilograms of grain
giá	(adj) false; artificial; forged
giá	(verb) to pretend; to feign
giá	(verb) to increase; to ađ
giá	(adj) old; aged; senile
ha du	(noun) lowlands
ha du	(noun) lowlands
hoai	[Be] Completely decomposed compost
hoai	(adj) always; continually; endlessly
hoai	Constantly, repeatedly
hoai	(noun) arbotive
hành hương	Go on a pilgrimage
hành hương	Go on a pilgrimage
hột xoàn	(tiếng địa phương) Diamond
hột xoàn	(tiếng địa phương) Diamond
khon nan	Mean, base; What a misfortune! What a piece of unluck!
khon nan	Mean, base; What a misfortune! What a piece of unluck!
kinh hon	Be frightened out of one's wits
kinh hon	Be frightened out of one's wits
liệt giường	(adj) confined in bed
liệt giường	(adj) confined in bed
lầy lội	(adj) muddy, slushy
lầy lội	(adj) muddy, slushy
mùng	(địa phương) Mosquito-net
mùng	Turn into an abscess; gather
mùng	Small basket; Small lacquer-caulked bamboo boat
mùng	(verb) to rejoyce; to congratulate
mùng	(adj) glad; happy
mùng	(địa phương) Mosquito-net
nghi luc	(noun) energy, will
nghi luc	(noun) energy, will
ngần ngại	(noun) hesitation
ngần ngại	(noun) hesitation
nhun	Crouch, flex the legs; Shrug (xem nhún vai).; Modest
nhun	Crouch, flex the legs; Shrug (xem nhún vai).; Modest
nhun	Courteous and modest; Very soft
nhun	Pulpy; Fain
noi khung	như nổi giận
noi khung	như nổi giận
nội chiến	(noun) civilwar
nội chiến	(noun) civilwar
phien tran	(sử học) Border territory
phien tran	(sử học) Border territory
phấn rôm	Talcum powder
phấn rôm	Talcum powder
quýt	Mandarin, mandarine; (từ cũ) Thằng quýt; Young servant
quýt	Fail to pay, default
quýt	Mandarin, mandarine; (từ cũ) Thằng quýt; Young servant
rúc	(verb) to peck; to strike with the beak
rúc	(verb) to hoot; to toot
rúc	(verb) to put (one's head) into something
rúc	(adj) rotten
rúc	Flaring up brightly, shining bright, blazing
rúc	(verb) to peck; to strike with the beak
rúc	(verb) to hoot; to toot
rúc	(verb) to put (one's head) into something
sinh quán	(noun) birth place
sinh quán	(noun) birth place
sư thúc	One's teacher younger brother
sư thúc	(noun) fact truth
sư thúc	One's teacher younger brother
thang dung	(adj) vertical
thang dung	(adj) vertical
thông dụng	(adj) commonly used
thông dụng	(adj) commonly used
tê bại	(verb) paralyse
tê bại	(verb) paralyse
vòng quanh	(adj) round-about
vòng quanh	(adj) round-about
ê hề	(adj) abudant; profuse
ê hề	(adj) abudant; profuse
đăm	(cũ) Right
đăm	(verb) to dare; to be bold erought tọ
đăm	(verb) to dare; to be bold erought tọ
đăm	(adj) lend; lustful
đăm	(noun) protein
đăm	(adj) capable
đăm	(verb) to bear
đăm	(verb) to punch; to stricke hard with the fist
đăm	(cũ, í dùng) Indulge in
đăm	(noun) the pond rammer
đăm	<div><b>number five; few; about five</b><ul></ul></div>
đăm	(adj) wetau trung	(noun) Larva
đăm	(adj) dark; deep (colour) strong (tea, coffee) heavy, fatba am	(verb) to broadcast
đăm	(verb) to sink; to suffer shipwreckba gac	(noun) tricycle, trike
đăm	Sedate, equableba láp	(adj) nonsensical, senseless
đăm	(verb) to offer ; to propose
đăm	xem giấm
đăm	(verb) to soak; to pickle; to steep
đăm	(địa phương) như đờm
đăm	(noun) splinter
đăm	(noun) mile; road
đăm	(verb) to paint in water colours
đăm	(noun) mass, patch
đăm	(verb) To stab, to thrust; To put forth (buds); To shoot, to dart; To pound; To turn, to become, to grow, to go
đức tin	Creeda	(excl) O; oh (exclamation of surprise, regret, ect.); By the way
đức tin	Creed
a	(noun) Acre (100 square meters)
a	<div><b>từ đệm</b><ul></ul></div>am anh	(verb) To obsess, to haunt
a	(noun) Lassam ba	(noun) sound-wave
a	(excl) Oh! (exclamation of surprise); By the way
a	(excl) Aah! Oof(expression of suffering)
a	(noun) Asia
a	(adj) Asian, Asiatic
bao quanh	(verb) To circle, to encompass
bo tro	(verb) To supplement
bo tro	(verb) To supplement
bói	(verb) to divine; to foretell; to angur
bói	(verb) To apply (a thin layer of); To do perfunctorily, to do by halves; To contrive (cái không cần thiết); To erase, to rub out(bảng dden)
bói	(noun) xem hát bội
bói	(verb) To break, to act counter to
bói	(adj) Multifold, greater
bói	(noun) Multiple
bói	(verb) to divine; to foretell; to angur
bói	(verb) To dig up, to scratch up; To pick holes in (someone's coat); To abuse, to call (someone's) bad name
bói	xem rối bời
bói	By; because of
bói	(verb) To swim; To row; To struggle
bói	xem trống bỏi
bói	(noun) Waiter (khách sạn), man-servant (nhà riêng bọn thực dân), houseboy
bói	(verb) To strengthen (by pasting on additional layers of the same material); (nói về bùn cát trong nước sông hồ) To raise the level of, to extend the area of with one's deposit
bói	(noun) Twigs mixed with grass (dùng để ddun); Chaff
bộ dạng	(noun) Bearing and figure (nói khái quát)
bộ dạng	(noun) Bearing and figure (nói khái quát)
cau ghet	Dirty, filthy
cau ghet	Dirty, filthy
chu hoa	To be for peace, to stand for peace
chu hoa	To be for peace, to stand for peace
chết tươi	(verb) (nói về người, động vật đang sống bình thường) To die an instant death
chết tươi	(verb) (nói về người, động vật đang sống bình thường) To die an instant death
còng	(adj) curved; bent
còng	(noun) Kind of mall crab; Irons; fetters; handcuff
còng	(adj) Numb with cold
còng	(noun) peacock; con công
còng	(noun) work; labour
còng	(adj) Public; common
còng	(verb) To carry on the back; to carry pick-a-back
còng	(adj) Bent, curved
còng	(noun) Blade
còng	(adj) Tops
còng	(noun) Drain; sewer ; culvert
còng	(verb) to pay tribute
còng	(noun) Gong; Ten years ago, the central highlands resounded with the echoes of an array of gongs. The Pleiku township in Gia Lai province was hosting the first ""Cồng Chiêng"" festival (Festival of gongs). Twelve Cồng Chiêng bands with 438 artists belonging to various ethnic minorities such as the Ê Đê, Gia Rai, Ba Na, Xơ Đăng presented a series of virtuoso performances. Seventy years separated the oldest and the youngest player Three years later, in 1988, participants numbered 1,000 from 14 ethnic groups from as many provinces. The deep sounds and melodies left an indelible impression on the large audience. The sounds of the Cồng and the Chiêng (Cồng has a knob in the middle, Chiêng has none -- Cồng makes the deep bass sounds, melodies are coaxed out of the Chiêng) are the very soul of the highlands. They are played to commemorate good harvests, at religious festivals and on many other occasions like child-birth, weddings, and funerals. Indeed, it is believed by the highlanders that a divine entity resides in each Cồng and Chiêng. In many communities, a Cồng Chiêng band consists of three Cồngs, nine Chiêngs, a drum and cymbals played by about twenty artistes. The compositions played differ, of course, with each festival and occasion --, lively, melancholic or sombre. The Cồng Chiêng in Vietnam's central highlands is the subject of study for many anthropologists, musicians, and ""orientalists"". Figures of Cồng Chiêng teams can be found on bronze drums which date back to 3000 years ago. This suggests that these instruments made their appearance in the early days among ethnic tribes such as Thái, and Mường in northern Vietnam, and Koho, Kor, Ba Na, Stieng, Mnong, in the central highlands. With recent economic and cultural developments, many musical instruments have made their way to the central highlands, but the Cồng Chiêng will remain intricately woven into the fabric of a highlander's life for ever. -- ()
còng	(noun) Gate; entrance; Barrier; level crossing
còng	(noun) (Bot) petiole; stem
còng	(verb) to add; to add up
dich ban	(cũ) Translation
dich ban	(cũ) Translation
duong nhien	(adv) naturally, as a matter of course
duong nhien	(adv) naturally, as a matter of course
gan ke	Close at hand
gan ke	Close at hand
giá biểu	Tariff
giá biểu	Tariff
ha gia	(verb) to lower the prices ; to debase
ha gia	(verb) to lower the prices ; to debase
hoai bao	Hope, dream, ambition
hoai bao	Hope, dream, ambition
hành hạ	(verb) to maltreat; to ill-treat; to batter about
hành hạ	(verb) to maltreat; to ill-treat; to batter about
hớ	(verb) to blunder
hớ	(adj) reserved; keep for future use
hớ	uncovered; gaping; open
hớ	(verb) To sing out for, to shout for; To call on, to urge; To cry for
hớ	(noun) Vietnamese chanty, work song; Ho Hue (Hue chanty): With high lyric quality, Hue chanty is closely attached to the everyday working life. They play the O chanty with a passionate tune when treading water, mowing weed, harrowing, or following a buffalo treading on paddy. They play the Do Hay chanty with a slow and sad tune when doing some light piece of job (hashing potatoes, chopping marsh-lentil, weaving cloth, lulling a babỵ..). The Ho Bui chanty has a+reasonably fast and rythmical air: One puts forward a tune, and another responds. They play the Nen chanty when building a road or a dyke, the Nen Voi chanty when pounding lime, even the Gia Gao chanty when grinding rice... The river chanties consist of Day Nuoc (pushing water), Mai Day (played when an overloaded boat crosses a waterfall, a very fast flow or strong waves) with very lively parallel sentences, and Dua Ghe (boat race). With no sneering hints, the Mai Nhi tender chanty alluding to warm trysts and heart-rending moans is played when the weather is attractively calm. In addition, there are Ru con (lulling a baby) and Dua Linh (attending a funeral) chanties
hớ	(verb) to cry out
hớ	(verb) to dry
hớ	(noun) last name ; family name
hớ	(noun) tontine
hớ	(noun) hole; grave; tomb
hớ	(verb) to cough
hớ	(noun) lake paste
hớ	(verb) to glue; to starch
hớ	(noun) mortar
hớ	(noun) tiger
hớ	<div><b>trạng ngữ for</b><ul></ul></div>
khon ngoan	(adj) wise
khon ngoan	(adj) wise
liệt kê	(verb) to list, to enumerate
liệt kê	(verb) to list, to enumerate
lầy nhầy	(adj) sticky; viscous ; gluey
lầy nhầy	(adj) sticky; viscous ; gluey
múa	to dance; to brandish (a weapon)
múa	(noun) rain
múa	In excess, more than one can manage (xem bỏ mứa, thừa mứa)
múa	(verb) to vomit; to spew up (food)
múa	(verb) to buy; to purchase; to get
múa	(noun) season; time; tide
ngần ngừ	(verb) to dilly-dally, to vacillate
ngần ngừ	(noun) proverb; adage
ngần ngừ	(noun) proverb; adage
nhun nao	(y học) Encephalomalacia
nhun nao	(y học) Encephalomalacia
noi ky sinh	(sinh vật) Endoparasite
noi ky sinh	(sinh vật) Endoparasite
nội chính	domestic policy; domestic administration
nội chính	domestic policy; domestic administration
phiet duyet	(từ cũ) Great family
phiet duyet	(từ cũ) Great family
phấn son	Face-powder and lipstick
phấn son	Face-powder and lipstick
quăm quắm	Threatening (of look, eyes ...)
quăm quắm	Frowning, scowling
quăm quắm	Threatening (of look, eyes ...)
rúc ráy	Creep (into dark and narrow places)
rúc ráy	Creep (into dark and narrow places)
sinh ra	(verb) to turn, to become
sư thầy	Middle-ranking female bonze
sư thầy	Middle-ranking female bonze
thang giac	(adv) sound, soundly
thang giac	(adv) sound, soundly
thông lệ	(noun) routine
thông lệ	(noun) routine
tranh dua	(verb) to compete
tranh dua	(verb) to compete
tê giác	(noun) rhinoceros
tê giác	(noun) rhinoceros
vòng vèo	(adj) tortuous, twisty
vòng vèo	(adj) tortuous, twisty
ê mặt	Feel ashamed, feel awkward with ashame
ê mặt	Feel ashamed, feel awkward with ashame
đăm chiêu	Looking worried, anxious
đăm chiêu	Looking worried, anxious
đức tính	quality; virtuea-can-dinh	(noun) Argentina, the Argentine
đức tính	(noun) passion
đức tính	(noun) passion
bao quat	(verb) To embrace; To see the whole of, to grasp the whole
bao quat	(verb) To embrace; To see the whole of, to grasp the whole
bo tron	(verb) to decamp; to bolt; to run away
bo tron	(verb) to decamp; to bolt; to run away
bói cá	(noun) kingfisher
bói cá	(noun) kingfisher
bộ hành	(noun) Pedestrian
bộ hành	(verb) To walk
bộ hành	(noun) Pedestrian
bộ hành	(verb) To walk
cau giam	(từ cũ) Arrest, detain, imprision
cau giam	(từ cũ) Arrest, detain, imprision
chu hon	(noun) Person presiding over a wedding
chu hon	(noun) Person presiding over a wedding
chết xác	(nói về mức độ làm việc) To death
chết xác	(nói về mức độ làm việc) To death
còng cọc	(noun) Cormorant
còng cọc	(adj) Silent
còng cọc	(adj) Silent
dam am	(adj) happy; sweet
dam am	(adj) happy; sweet
dich dang	Very deserving, just
dich dang	Very deserving, just
duong nhu	As it would seem
duong nhu	As it would seem
gan li	(adj) intrepidly calm
gan li	(adj) intrepidly calm
giá buốt	(adjective) biting cold
giá buốt	(adjective) biting cold
ha gian	(verb) to give way to anger
ha gian	(verb) to give way to anger
hoai cam	Remember (recollect) with emotion
hoai cam	Remember (recollect) with emotion
hành hạt	(từ cũ; nghĩa cũ) Make one's round (of a mandarin)
hành hạt	(từ cũ; nghĩa cũ) Make one's round (of a mandarin)
hớn hở	(adj) merry; gay; radiant
hớn hở	(adj) merry; gay; radiant
khon noi	(adj) unfortunately
khon noi	(adj) unfortunately
kinh hãi	như kinh sợ
kinh hãi	như kinh sợ
liệt sĩ	(noun) partiotic martyr
liệt sĩ	(noun) partiotic martyr
lẩm bẩm	(verb) to mumble
lẩm bẩm	(verb) to mumble, to grumble
lẩm bẩm	(verb) to mumble, to grumble
múa giật	(y học) Chorea, st. Vitus dance
múa giật	(y học) Chorea, st. Vitus dance
nghi mat	Go on holiday
nghi mat	Go on holiday
ngầu	cũng như ngàu very muddy; Bloodshot
ngầu	At a loose end
ngầu	(thông tục) cũng như ngậu xị Raise a fuus, kick up a fuus
ngầu	xem ngầu
ngầu	Aglaia (kind of tree with fragrant little flowers); Seventh lunar month
ngầu	xem ngầu
ngầu	(thông tục) Gobble, devour; Ripe; To ahigh degree
nhun nhan	Modest and courteous
nhun nhan	Modest and courteous
noi la	Reportedly, supposedly
noi la	Reportedly, supposedly
nội cung	Harem
nội cung	Put on a bold front
nội cung	Put on a bold front
phieu	(noun) ballok, voting paper
phieu	(noun) ballok, voting paper
phấn sáp	Cosmetics, beauty preparations.; (thông tục) make oneself up, make up
phấn sáp	Cosmetics, beauty preparations.; (thông tục) make oneself up, make up
quăn	(adj) crisp; curly
quăn	(noun) canal
quăn	(verb) to mind; to flinch from
quăn	(verb) to manage; to cope with
quăn	(verb) to wind; to twine
quăn	(noun) small ball; tenis ball. pants; trousers
quăn	(verb) to tire out; to exhaust
quăn	(verb) be muddle-headed
quăn	(noun) district
quăn	(noun) time; unit; round
quăn	(verb) to feel a writhing pain
quăn	(verb) to bend; to curve
quăn	writhe in pain
quăn	Lie in state (of a corpse)
quăn	Lie in state (of a corpse)
quăn	(noun) kiosk
quăn	(noun) Inn;restaurant; store; house
quăn	(noun) army
rúc rích	Biggle
rúc rích	(verb) to get ready
rúc rích	Biggle
sinh sac	(adj) more beautiful chromogenous, chromogenic
sinh sac	(adj) more beautiful chromogenous, chromogenic
sư trưởng	(noun) master, mastermind division commander
sư trưởng	(noun) master, mastermind division commander
thang goc	(adj) perpendicular
thang goc	(adj) perpendicular
thông minh	(adj) intelligent, clever
thông minh	(adj) intelligent, clever
tranh luan	(verb) to discuss
tranh luan	(verb) to discuss
tê mê	(adj) dead to the world
tê mê	(adj) dead to the world
vó	(noun) hoof lift net
vó	(adj) wasted
vó	(verb) to gather, to collect to rake in to claim, to assume
vó	(noun) cover, bark, shell, sheath, husk, skin, peel, pot, crust tyre
vó	(verb) to clap, slap to lap to flap
vó	(verb) to grasp, to catch to catch, to come upon
vó	(noun) socks, stockings
vó	(verb) pretend, to sham
vó	(verb) to break to clear off
vó	(noun) wife
vó	(noun) jar
vó	(verb) to crumple up, to crush up to rub
vó	(noun) jar
vó	(verb) to crumple up, to crush up to rub
ê răng	(verb) to feel one's teeth on edge
ê răng	afraid that
ê răng	afraid that
đăm đăm	Waiting intently for (someone, something); Fixedly
đăm đăm	Waiting intently for (someone, something); Fixedly
đức ông	His Royal Highness, Monsignora dao	(noun) Singsong girl, geisha
đức ông	His Royal Highness, Monsignor
bao quoc	(từ cũ, nghĩa cũ) Do one's duty towards one's country
bao quoc	(sử học) Protector
bao quoc	(từ cũ, nghĩa cũ) Do one's duty towards one's country
bo truong	(noun) Minister
bo truong	(noun) Minister
bón	(verb) to fertilize; to manure
bón	(verb) To rush
